source	target	interaction	weight
Oscillospira	Ruminococcaceae	co-occurrence	0.52
Oscillospira	Clostridiales	co-occurrence	0.48
Oscillospira	Lachnospiraceae	co-occurrence	0.41
Blautia	Lachnospiraceae	co-occurrence	0.55
Blautia	Coprococcus	co-occurrence	0.49
Blautia	Roseburia	co-occurrence	0.62
Roseburia	Lachnospiraceae	co-occurrence	0.58
Roseburia	Coprococcus	co-occurrence	0.44
Clostridiaceae	Clostridiales	co-occurrence	0.67
Clostridiaceae	Lachnospiraceae	co-occurrence	0.45
Ruminococcaceae	Clostridiales	co-occurrence	0.51
Anaerotruncus	Ruminococcaceae	co-occurrence	0.38
Coprococcus	Clostridiales	co-occurrence	0.42
distasonis	Bacteroides	co-occurrence	0.44
Dehalobacterium	Clostridiaceae	co-occurrence	0.33
Bacteroides	Parabacteroides	co-occurrence	0.47
Bacteroides	Rikenellaceae	co-occurrence	0.41
Parabacteroides	Rikenellaceae	co-occurrence	0.36
Bacteroides	Lachnospiraceae	co-occurrence	0.31
Bacteroides	Ruminococcaceae	co-occurrence	0.28
Parabacteroides	Blautia	co-occurrence	0.29
Streptococcus	Neisseria	co-occurrence	0.38
Gemellaceae	Streptococcus	co-occurrence	0.41
Coriobacteriaceae	Bacteroides	co-occurrence	0.34
Coriobacteriaceae	Lachnospiraceae	co-occurrence	0.28
Dorea	Blautia	competition	-0.35
Dorea	Oscillospira	competition	-0.41
Erwinia	Lachnospiraceae	competition	-0.38
Erwinia	Ruminococcaceae	competition	-0.33
Comamonadaceae	Oscillospira	competition	-0.29
Streptococcus	Lachnospiraceae	competition	-0.31
