taxon,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1,composite_impact,pval,ci_lo,ci_hi
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,3.0,0.038535151907187704,0.16204947233200073,0.0005669630991882238,0.02498072385787964,3.0,1.9535092212485914,0.0,0.29573060790940264,2.227264297114432
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,6.0,0.1575889667794872,0.14968392252922058,-0.0017184596552345943,0.0,3.0,1.6556918875134077,0.122,-0.24735889915322523,2.1610999488674882
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,0.0,0.006931986993430783,0.19506704807281494,0.003361307070808013,0.02498072385787964,-1.0,1.2979089737595484,0.018,-1.3180204948660514,1.7339453562855216
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,5.0,0.1747524296282994,0.12795782089233398,-0.002056107577205854,0.0,0.0,1.0997633494564965,0.132,-0.5772714082844523,2.2846986977507293
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus,6.0,0.1272901817508485,0.10226273536682129,-0.00310340381541184,0.0,1.0,1.0279976689693864,0.148,-0.7380943127668357,1.9873521713781745
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis,2.0,0.06421465415734184,0.11968636512756348,0.0007887367640496759,0.008113980293273926,0.0,0.9435797479896327,0.272,-0.7498659622638038,2.127943222490536
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum,1.0,0.07268478641862153,0.013391077518463135,-0.0007360980685594612,0.0,3.0,0.7508152287541935,0.178,-1.3025283866308213,1.27211536218261
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,0.0,-0.04603279867418619,0.1794673204421997,0.0034737700652861664,0.0,1.0,0.6528728837227015,0.314,-0.8386302762575327,1.863255691751673
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_4_3_47FAA,2.0,0.06497012274313185,0.10960787534713745,0.0004308237945896687,0.0,0.0,0.6512257787295409,0.0,-0.44592151968316196,1.0791805230327276
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii,0.0,0.006136832774630285,0.03901565074920654,0.0009516012377855237,0.00990206003189087,1.0,0.6319562368274024,0.014,-0.5440460155704838,0.8312541719111611
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,1.0,0.028826480453788328,0.13257765769958496,0.0015362871560228725,0.0,0.0,0.5821605246860423,0.108,-1.2679022976172456,1.472689410173458
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_nexile,2.0,0.030935136287658427,0.03189820051193237,-0.0008350714187492225,0.0,2.0,0.5702647520131556,0.034,-0.3164776919786097,0.7605200430926876
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,2.0,0.02463484476914557,0.0716257095336914,-0.00040182224065383326,0.0,1.0,0.5110554935272354,0.18,-0.7958048282429795,1.6004703817437347
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,2.0,0.05118755304992417,0.04959595203399658,-0.001297215711584282,0.0,1.0,0.47627380340014885,0.346,-0.7275404418440605,1.2213171028682366
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,-4.0,-0.13441219167223872,0.02832251787185669,0.0036134181234113855,0.02498072385787964,1.0,0.46323741293860493,0.208,-1.3827831610244337,0.9378862318657135
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified,1.0,0.040142053087684815,0.03467196226119995,-0.0002397623853921671,0.0,1.0,0.42303523191735604,0.11,-0.47739181661203595,0.7193326575096446
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi,0.0,0.004031422794277706,0.08635777235031128,0.0018675735903701807,0.0,0.0,0.35361569363725387,0.09,-0.49998954476429674,0.933501294460846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8,2.0,0.05188156223453033,0.08506274223327637,-0.00035413937194930106,0.0,-1.0,0.3339556550864571,0.352,-0.8199082426049489,1.7715269928778503
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis,2.0,0.02423136835841344,0.061784327030181885,-0.0006581719321843843,0.0,0.0,0.3164399340897859,0.386,-0.5791631440360113,1.673627031988364
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,1.0,0.025612419173306922,0.05645561218261719,-5.198854147333426e-05,0.0,0.0,0.27900172129725104,0.352,-0.4915596007990248,1.5004369541624545
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica,1.0,0.01685087027288734,0.01072758436203003,-0.0005517988427867701,0.0,1.0,0.2683618208702974,0.07,-0.21789986935955133,0.5191728950956723
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta,0.0,0.014517901696385227,0.04948744177818298,0.001222245035607021,0.0,0.0,0.2611242086873519,0.24,-0.1312533549789746,0.7144427098261649
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis,0.0,0.0028016811658981844,0.019363462924957275,0.00041198857287143287,0.0,1.0,0.2371040380721927,0.092,-0.5005365402702359,0.7083020940242192
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_unclassified,1.0,0.029461450905889475,0.027488350868225098,-0.00015273297359165439,0.0,0.0,0.231169873313843,0.138,-0.1857024671399197,0.7338596270926786
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA,0.0,0.005704810061349708,0.012279868125915527,0.0002656974629163117,0.0,1.0,0.22023306237812057,0.322,-0.7348469183889316,0.7981551978418422
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,-1.0,-0.033838821771858374,0.09976637363433838,0.0024730757526039773,0.0,0.0,0.21213639519734626,0.532,-0.4424236163362182,1.7996689964490518
