taxon,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1,composite_impact
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,0.0,0.000560969534728617,0.0008382797241210938,1.7835738811089463e-05,0.0,0.0,-0.24288678578272516
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,-0.2497690898680922
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes,0.0,0.0,0.0,0.0,0.0,0.0,-0.2497690898680922
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,1.0,0.02135878380090439,0.03680706024169922,-0.0001933472119030541,0.0,0.0,0.04649530900907128
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,0.0,0.0,0.0,0.0,0.0,0.0,-0.2497690898680922
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,2.0,0.04278138738667003,0.03436771035194397,-0.0012674300805896738,0.0,0.0,0.15642827035031204
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,0.0,0.0,0.0,0.0,0.0,0.0,-0.2497690898680922
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,2.0,0.04979563281234878,0.06063574552536011,-0.0006836959656248698,0.0,1.0,0.5268422532718988
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0.0,0.0,0.0,0.0,0.0,0.0,-0.2497690898680922
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,0.0,0.0,0.0,0.0,0.0,0.0,-0.2497690898680922
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,3.0,0.08259837423628325,0.11823391914367676,-0.00042884492781913863,0.0,1.0,0.9812467595009675
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis,0.0,0.0,0.0,0.0,0.0,0.0,-0.2497690898680922
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,-0.2497690898680922
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,0.0,-0.011196402699304553,-0.2027462124824524,-0.004313749201754306,0.0,-1.0,-1.453916830293417
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,1.0,0.025526674056624454,-0.046427130699157715,-0.0020027861453999415,0.0,0.0,-0.31986844356634064
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,-1.0,-0.022470888808665546,-0.04511982202529907,1.210854091542729e-05,0.0,0.0,-0.590899899861744
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,3.0,0.046701053620297195,0.2256191372871399,0.0020117282118050223,0.0,2.0,1.5113653070337705
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,1.0,0.026022921585277636,0.03130614757537842,-0.00031293226986654765,0.0,0.0,0.04586496930461447
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,1.0,0.02805691912000574,0.2127576470375061,0.0036316655445275334,0.0,2.0,1.3212612185327133
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,3.0,0.038535151907187704,0.16204947233200073,0.0005669630991882238,0.02498072385787964,3.0,2.157919574626614
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,2.0,0.055842582138532215,0.05425858497619629,-0.0008254106444951781,0.0,1.0,0.5291732580373782
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis,0.0,0.0028016811658981844,0.019363462924957275,0.00041198857287143287,0.0,1.0,0.0631144465618594
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,-3.0,-0.07157598616100547,-0.19820499420166016,-0.0012220379646788251,0.009965360164642334,-1.0,-1.4705992886765433
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,-1.0,-0.03180315286416624,-0.044990360736846924,1.4805651091513716e-05,0.0,-2.0,-1.0574219817496469
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,1.0,0.010527676992628354,-0.08312737941741943,-0.0028006176392752005,0.0,0.0,-0.5718801099455063
