,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1,composite_impact,pval,ci_lo,ci_hi
Oscillospira,3.0,0.20818208797580984,0.07585710287094116,0.006473622435615174,0.041234612464904785,2.0,4.077284252312211,0.006,0.2424431890663697,4.1595107381136085
Blautia,2.0,0.2228110588456711,0.042906031012535095,0.0006378062215505846,0.0,0.0,1.2815043100276757,0.0,-1.0289732113997128,2.403654940235116
Ruminococcaceae,-1.0,-0.35473368157232277,0.0015574097633361816,0.0048765956045507056,0.041234612464904785,0.0,0.8950535124809192,0.724,-1.3895647582874138,2.9287684950352473
Clostridiaceae,2.0,0.09978225899463089,0.019619107246398926,-0.0007320128235162489,0.0,0.0,0.7324644735467062,0.028,-0.9338136865453391,1.5629518061905083
Lachnospiraceae,-1.0,-0.03149617643605884,0.02399495244026184,0.0028590439330963835,0.012237906455993652,0.0,0.7099669153749177,0.046,-0.9932202358326297,0.9018563725109952
Clostridiales,1.0,0.20226796161619864,0.012191474437713623,-0.0004723511991046713,0.0,0.0,0.6898985893159594,0.06,-0.6713079795539415,2.015234408424949
Bacteroides,1.0,0.1603803798308383,0.007735550403594971,-0.0012150052047911128,0.0,0.0,0.506274183107321,0.282,-2.032447061239042,1.540493237467258
Bacteroides,1.0,0.1603803798308383,0.007735550403594971,-0.0012150052047911128,0.0,0.0,0.506274183107321,0.566,-1.717997888486842,1.5439172079150238
Comamonadaceae,-1.0,0.0010731302754924954,0.014457836747169495,0.0021778213835897883,0.0,0.0,0.30813961945352175,0.136,-0.8100628994015406,1.091503024795766
Clostridiales,0.0,0.019714262049390863,0.006729781627655029,0.00041571401414416953,-0.0004323124885559082,0.0,0.2507527393338003,0.272,-1.4487482309015152,0.9892522042263272
distasonis,0.0,-0.01668917194123498,0.006662547588348389,0.00044416983922322337,0.0,0.0,0.20399747393698978,0.098,-1.099182000099516,0.5107745704631801
Dehalobacterium,0.0,-0.0011898287666580742,0.0007133036851882935,4.755357901255197e-05,0.0,0.0,0.1359178428204698,0.354,-1.1549690093382599,1.8157873268355995
Gemellaceae,0.0,0.02945221826542266,-0.0028237104415893555,-0.00018824736277262347,0.0,0.0,0.13055147738975628,0.274,-1.9102433751797252,0.9178984250821054
Neisseria,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.298,-0.3214343309362533,0.6523664411833279
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.412,-0.5600060327085159,0.725277581475696
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.212,-0.7208104001309538,0.8828003947509993
Coprobacillus,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.338,-0.41932917529437436,0.632109658353677
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.318,-0.9519289017657365,0.9941423675186817
Clostridiales,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.094,-1.493494450485513,1.401873891164185
Clostridiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.342,-0.5260018004818829,0.399124374403622
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.232,-1.1332893248707472,0.5476286799126745
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.352,-0.776677493793891,0.6418761382193459
Bacteroides,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.338,-0.9165772675611842,0.6598420621642749
[Ruminococcus],0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.318,-0.5922583042056017,0.37861247194733416
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.322,-0.7315213898899011,0.8096260110228232
Aggregatibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.42,-0.9162467469022191,0.6904668320259622
Peptostreptococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.234,-0.7590234082165906,0.26079822466651664
Fusobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.31,-0.43243485665712467,0.26079822466651664
Ruminococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.242,-0.7529834552318799,0.5901320534175647
Gardnerella,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.328,-0.8884230371415262,0.583017508043641
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.316,-0.58938938954662,0.42223609183356814
Clostridiales,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.208,-1.1544808546464973,0.8822451085909492
Clostridiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.208,-1.3428421898970222,0.869198113356455
