,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1,composite_impact
Butyricimonas,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Clostridiales,0.0,0.0035877215707251775,-0.0004323124885559082,-6.175892693655732e-05,-0.0004323124885559082,0.0,-0.062118950803321936
Neisseria,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Dorea,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Peptostreptococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Fusobacterium,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Aggregatibacter,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Bacteroides,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Bacteroides,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
[Ruminococcus],0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Ruminococcus,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Bacteroides,-1.0,-0.17185987283582294,-0.0075119733810424805,0.0009392010314123976,0.001873016357421875,0.0,-0.6285107264203519
Gardnerella,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Coprococcus,-1.0,-0.10717274847295188,-0.004474520683288574,0.0013188826186316359,0.0,0.0,-0.46032622355046954
Clostridiales,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Virgibacillus,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Blautia,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
faecis,1.0,0.24699635881817206,-0.03643310070037842,-0.008576447055453344,-0.007914423942565918,0.0,-0.887616225903646
Erwinia,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Anaerococcus,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Bacteroides,1.0,0.1480769271094664,0.00673830509185791,-0.0013812127567472895,0.0,0.0,0.47655541610409013
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
formicigenerans,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Anaerotruncus,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Bacteroides,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Clostridiales,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Coriobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Ruminococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Lachnospiraceae,-3.0,-0.401314633135585,-0.041398584842681885,0.00036781600543430923,0.0,-2.0,-3.2107243056347454
Chromatiales,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
zeae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Bacteroides,1.0,0.1603803798308383,0.007735550403594971,-0.0012150052047911128,0.0,0.0,0.5335077681616239
Paludibacter,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Oscillospira,3.0,0.22487125991704482,0.06919455528259277,0.006029452596391951,0.041234612464904785,2.0,4.87564978002268
Clostridiaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
prausnitzii,0.0,-0.015448062053257994,-0.002939581871032715,-0.0004199402672903866,0.0,0.0,-0.16327448518570928
Rikenellaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Ruminococcaceae,1.0,0.11848821858672376,0.004698634147644043,-0.0017211579141162697,0.0,0.0,0.3509451856031085
Clostridiales,1.0,0.20226796161619864,0.012191474437713623,-0.0004723511991046713,0.0,0.0,0.7609920228617227
Ruminococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Clostridiales,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Dehalobacterium,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Streptococcus,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
RF16,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Clostridium,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Blautia,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
[Mogibacteriaceae],0.0,-0.09066263694157084,-0.013751864433288574,-0.0019645520618983663,0.0,0.0,-0.6327151423730691
distasonis,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Oscillospira,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Clostridiales,-1.0,-0.07680937649597097,-0.0026291608810424805,0.0015495525939123976,0.0,0.0,-0.3476477379406635
Ruminococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Clostridiales,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Roseburia,0.0,-0.01952360408345455,-0.020688414573669434,-0.0029554877962384915,0.0,0.0,-0.6876353300634425
moorei,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Ruminococcaceae,0.0,-0.09052467443738821,-0.016837477684020996,-0.0024053539548601413,0.0,0.0,-0.722128762298023
Clostridiales,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Bacteroides,1.0,0.1603803798308383,0.007735550403594971,-0.0012150052047911128,0.0,0.0,0.5335077681616239
Planococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Trabulsiella,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Comamonadaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Ruminococcaceae,0.0,-0.003345053791439234,-0.0005416274070739746,-7.737534386770967e-05,0.0,0.0,-0.06860401998490286
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Clostridiaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Parabacteroides,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Clostridiales,1.0,0.11848821858672376,0.004698634147644043,-0.0017211579141162697,0.0,0.0,0.3509451856031085
Coprobacillus,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Ruminococcaceae,1.0,-0.1935648271990733,0.05342608690261841,0.006400084211712792,0.041234612464904785,1.0,2.7927501906756924
Clostridiaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Clostridiales,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
Gemellaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.04595985913172632
