,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1,composite_impact
Butyricimonas,0.0,0.008025504709150866,0.0013356953859329224,8.904635906219552e-05,0.0,0.0,-0.15837273435372948
Clostridiales,0.0,-0.016126540478665685,-0.0071620941162109375,-0.00047747294108072685,0.0,0.0,-0.4331463931974719
Neisseria,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Dorea,2.0,0.12938922677018594,0.060112714767456055,0.002157645347790841,0.00523868203163147,2.0,3.1618298155683444
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Peptostreptococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Fusobacterium,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Aggregatibacter,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Lachnospiraceae,3.0,0.18785781030128712,0.024825677275657654,-0.0019391092161337511,0.0,0.0,0.771508255372039
Bacteroides,1.0,0.0941281526442701,0.01487189531326294,-8.284052213032925e-05,0.0,1.0,0.9021675692139723
Bacteroides,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
[Ruminococcus],0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Ruminococcus,1.0,0.07450002325406135,0.009323328733444214,-0.00047916670640309536,0.0,0.0,0.1946865310091728
Bacteroides,0.0,-0.016671501774405684,-0.002890467643737793,-0.00019269784291585032,0.0,0.0,-0.3309650160552091
Gardnerella,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Clostridiales,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Virgibacillus,1.0,0.07765923147970044,0.00950498878955841,-0.00046619098810922466,0.0,0.0,0.20823285106456865
Blautia,1.0,0.07898994461217912,0.009836241602897644,-0.000442530072870706,0.0,0.0,0.22038320773616824
faecis,0.0,-0.020111502432344164,-0.01736968755722046,-0.0011579791704813616,0.0,0.0,-0.6923013575673767
Erwinia,1.0,0.060470385503704094,0.04440465569496155,0.002026642362276714,0.0,0.0,1.0424448475692454
Anaerococcus,1.0,0.07487507049004227,0.008847802877426147,-0.0005131328389758154,0.0,0.0,0.18371899005647133
