feature,mean_a,mean_b,mean_delta,cohens_d,wilcoxon_p,permutation_p,n_iter,n_a,n_b,subsample_a,subsample_b,comparison,label_a,label_b,perm_p_fdr,sig_perm_fdr,wilcox_p_fdr,sig_wilcox_fdr
h1_count,35.455,40.81,-5.355,-0.9552,0.0,0.001996,200,974,364,60,60,ibd_vs_nonibd,IBD (CD+UC),nonIBD,0.0026613333333333333,True,0.0,True
h1_entropy,3.1963,3.3158,-0.1194,-0.7297,0.0,0.001996,200,974,364,60,60,ibd_vs_nonibd,IBD (CD+UC),nonIBD,0.0026613333333333333,True,0.0,True
h1_total_persistence,1.6684,2.1887,-0.5203,-1.4578,0.0,0.001996,200,974,364,60,60,ibd_vs_nonibd,IBD (CD+UC),nonIBD,0.0026613333333333333,True,0.0,True
h1_mean_lifetime,0.0472,0.0538,-0.0066,-0.9632,0.0,0.001996,200,974,364,60,60,ibd_vs_nonibd,IBD (CD+UC),nonIBD,0.0026613333333333333,True,0.0,True
h1_max_lifetime,0.1589,0.1973,-0.0385,-1.2289,0.0,0.001996,200,974,364,60,60,ibd_vs_nonibd,IBD (CD+UC),nonIBD,0.0026613333333333333,True,0.0,True
max_betti1,12.685,14.4,-1.715,-0.5177,2e-06,0.001996,200,974,364,60,60,ibd_vs_nonibd,IBD (CD+UC),nonIBD,0.0026613333333333333,True,3e-06,True
h1_count,33.22,40.925,-7.705,-1.4962,0.0,0.001996,200,599,364,60,60,cd_vs_nonibd,Crohn's disease,nonIBD,0.0026613333333333333,True,0.0,True
h1_entropy,3.1083,3.3168,-0.2086,-1.2812,0.0,0.001996,200,599,364,60,60,cd_vs_nonibd,Crohn's disease,nonIBD,0.0026613333333333333,True,0.0,True
h1_total_persistence,1.6594,2.2256,-0.5661,-1.4622,0.0,0.001996,200,599,364,60,60,cd_vs_nonibd,Crohn's disease,nonIBD,0.0026613333333333333,True,0.0,True
h1_mean_lifetime,0.0501,0.0543,-0.0042,-0.5622,0.0,0.001996,200,599,364,60,60,cd_vs_nonibd,Crohn's disease,nonIBD,0.0026613333333333333,True,0.0,True
h1_max_lifetime,0.1751,0.1963,-0.0211,-0.6683,0.0,0.001996,200,599,364,60,60,cd_vs_nonibd,Crohn's disease,nonIBD,0.0026613333333333333,True,0.0,True
max_betti1,11.64,14.58,-2.94,-0.9521,0.0,0.001996,200,599,364,60,60,cd_vs_nonibd,Crohn's disease,nonIBD,0.0026613333333333333,True,0.0,True
h1_count,39.49,40.36,-0.87,-0.1659,0.099355,0.113772,200,375,364,60,60,uc_vs_nonibd,Ulcerative colitis,nonIBD,0.13212232258064519,False,0.119226,False
h1_entropy,3.3005,3.3153,-0.0148,-0.0977,0.344336,0.341317,200,375,364,60,60,uc_vs_nonibd,Ulcerative colitis,nonIBD,0.357228,False,0.36459105882352943,False
h1_total_persistence,2.1058,2.2164,-0.1107,-0.2772,0.004935,0.007984,200,375,364,60,60,uc_vs_nonibd,Ulcerative colitis,nonIBD,0.010265142857142858,True,0.006345000000000001,True
h1_mean_lifetime,0.0534,0.055,-0.0016,-0.2156,0.056662,0.031936,200,375,364,60,60,uc_vs_nonibd,Ulcerative colitis,nonIBD,0.03964468965517241,True,0.07033903448275862,False
h1_max_lifetime,0.1885,0.1935,-0.005,-0.1677,0.123893,0.095808,200,375,364,60,60,uc_vs_nonibd,Ulcerative colitis,nonIBD,0.1149696,False,0.13938075,False
max_betti1,14.755,14.47,0.285,0.086,0.451335,0.39521,200,375,364,60,60,uc_vs_nonibd,Ulcerative colitis,nonIBD,0.39521,False,0.451335,False
h1_count,32.0,36.015,-4.015,-1.2698,0.0,0.001996,200,60,189,60,60,high_vs_low_calprotectin,High calprotectin (≥250 μg/g),Low calprotectin (<50 μg/g),0.0026613333333333333,True,0.0,True
h1_entropy,3.1584,3.2019,-0.0436,-0.4431,1.4e-05,0.001996,200,60,189,60,60,high_vs_low_calprotectin,High calprotectin (≥250 μg/g),Low calprotectin (<50 μg/g),0.0026613333333333333,True,2.016e-05,True
h1_total_persistence,2.0491,1.7079,0.3411,1.547,0.0,0.001996,200,60,189,60,60,high_vs_low_calprotectin,High calprotectin (≥250 μg/g),Low calprotectin (<50 μg/g),0.0026613333333333333,True,0.0,True
h1_mean_lifetime,0.064,0.0475,0.0166,3.5136,0.0,0.001996,200,60,189,60,60,high_vs_low_calprotectin,High calprotectin (≥250 μg/g),Low calprotectin (<50 μg/g),0.0026613333333333333,True,0.0,True
h1_max_lifetime,0.2116,0.1678,0.0438,1.9816,0.0,0.001996,200,60,189,60,60,high_vs_low_calprotectin,High calprotectin (≥250 μg/g),Low calprotectin (<50 μg/g),0.0026613333333333333,True,0.0,True
max_betti1,14.0,12.855,1.145,0.5885,0.0,0.001996,200,60,189,60,60,high_vs_low_calprotectin,High calprotectin (≥250 μg/g),Low calprotectin (<50 μg/g),0.0026613333333333333,True,0.0,True
h1_count,31.405,33.255,-1.85,-0.437,1.7e-05,0.001996,200,93,457,60,60,high_vs_low_hbi,Active CD (HBI≥5),Remission CD (HBI<5),0.0026613333333333333,True,2.353846153846154e-05,True
h1_entropy,3.0336,3.1144,-0.0808,-0.5542,0.0,0.001996,200,93,457,60,60,high_vs_low_hbi,Active CD (HBI≥5),Remission CD (HBI<5),0.0026613333333333333,True,0.0,True
h1_total_persistence,1.5421,1.6711,-0.129,-0.4314,2.6e-05,0.001996,200,93,457,60,60,high_vs_low_hbi,Active CD (HBI≥5),Remission CD (HBI<5),0.0026613333333333333,True,3.4666666666666665e-05,True
h1_mean_lifetime,0.0492,0.0503,-0.0011,-0.146,0.123894,0.151697,200,93,457,60,60,high_vs_low_hbi,Active CD (HBI≥5),Remission CD (HBI<5),0.170659125,False,0.13938075,False
h1_max_lifetime,0.1746,0.1784,-0.0037,-0.1085,0.340305,0.285429,200,93,457,60,60,high_vs_low_hbi,Active CD (HBI≥5),Remission CD (HBI<5),0.31137709090909094,False,0.36459105882352943,False
max_betti1,10.005,11.54,-1.535,-0.6206,0.0,0.001996,200,93,457,60,60,high_vs_low_hbi,Active CD (HBI≥5),Remission CD (HBI<5),0.0026613333333333333,True,0.0,True
h1_count,33.68,39.64,-5.96,-1.1866,0.0,0.001996,200,114,240,60,60,high_vs_low_sccai,Active UC (SCCAI≥3),Remission UC (SCCAI<3),0.0026613333333333333,True,0.0,True
h1_entropy,3.0979,3.2958,-0.198,-1.3262,0.0,0.001996,200,114,240,60,60,high_vs_low_sccai,Active UC (SCCAI≥3),Remission UC (SCCAI<3),0.0026613333333333333,True,0.0,True
h1_total_persistence,1.7803,2.0775,-0.2972,-0.9895,0.0,0.001996,200,114,240,60,60,high_vs_low_sccai,Active UC (SCCAI≥3),Remission UC (SCCAI<3),0.0026613333333333333,True,0.0,True
h1_mean_lifetime,0.0532,0.0526,0.0006,0.091,0.392363,0.347305,200,114,240,60,60,high_vs_low_sccai,Active UC (SCCAI≥3),Remission UC (SCCAI<3),0.357228,False,0.40357337142857147,False
h1_max_lifetime,0.2117,0.1881,0.0236,0.6941,0.0,0.001996,200,114,240,60,60,high_vs_low_sccai,Active UC (SCCAI≥3),Remission UC (SCCAI<3),0.0026613333333333333,True,0.0,True
max_betti1,9.61,13.905,-4.295,-1.6325,0.0,0.001996,200,114,240,60,60,high_vs_low_sccai,Active UC (SCCAI≥3),Remission UC (SCCAI<3),0.0026613333333333333,True,0.0,True
