feature_set,threshold_rule,threshold_value,precision,recall,specificity,f1,ap_score,tp,fp,tn,fn
Shannon only,0.50,0.5,0.08953817153628653,0.5757575757575758,0.6867704280155642,0.15497553017944535,0.11573905603606124,95,966,2118,70
Shannon only,95%-spec,0.72,0.15730337078651685,0.1696969696969697,0.9513618677042801,0.16326530612244897,0.11573905603606124,28,150,2934,137
Topology only,0.50,0.5,0.07590529247910864,0.6606060606060606,0.5697146562905318,0.1361648969394129,0.08873208479181449,109,1327,1757,56
Topology only,95%-spec,0.702,0.11764705882352941,0.12121212121212122,0.9513618677042801,0.11940298507462688,0.08873208479181449,20,150,2934,145
BC-PCoA(10),0.50,0.5,0.08900083963056256,0.6424242424242425,0.6481841763942932,0.15634218289085547,0.09252224427315926,106,1085,1999,59
BC-PCoA(10),95%-spec,0.727,0.11428571428571428,0.12121212121212122,0.9497405966277561,0.11764705882352942,0.09252224427315926,20,155,2929,145
Aitchison-PCoA(10),0.50,0.5,0.09685230024213075,0.7272727272727273,0.6371595330739299,0.17094017094017092,0.12786202458027346,120,1119,1965,45
Aitchison-PCoA(10),95%-spec,0.754,0.15463917525773196,0.18181818181818182,0.9468223086900129,0.1671309192200557,0.12786202458027346,30,164,2920,135
Aitchison-PCoA + Topo + Shannon,0.50,0.5,0.09881756756756757,0.7090909090909091,0.6540207522697795,0.17346182357301707,0.1361528212952164,117,1067,2017,48
Aitchison-PCoA + Topo + Shannon,95%-spec,0.762,0.15841584158415842,0.19393939393939394,0.9448767833981842,0.17438692098092642,0.1361528212952164,32,170,2914,133
