strategy,operating_point,prevalence,tp,fp,fn,tn,sensitivity,specificity,ppv,npv,referrals,missed,unnecessary
Shannon only,balanced,0.01,52,3236,48,6664,0.528747433264887,0.6730769230769231,0.015815085158150853,0.9928486293206198,3288,48,3236
Shannon only,balanced,0.03,158,3171,142,6529,0.528747433264887,0.6730769230769231,0.04746170021027336,0.9787138360065957,3329,142,3171
Shannon only,balanced,0.05,264,3105,236,6395,0.528747433264887,0.6730769230769231,0.07836153161175423,0.9644095913135273,3369,236,3105
Shannon only,balanced,0.1,528,2942,472,6058,0.528747433264887,0.6730769230769231,0.1521613832853026,0.9277182235834609,3470,472,2942
Topology only,balanced,0.01,55,4487,45,5413,0.5595482546201233,0.5467032967032968,0.012109202994275649,0.9917552216929278,4542,45,4487
Topology only,balanced,0.03,167,4396,133,5304,0.5595482546201233,0.5467032967032968,0.03659872890642121,0.9755379805039543,4563,133,4396
Topology only,balanced,0.05,279,4306,221,5194,0.5595482546201233,0.5467032967032968,0.06085059978189749,0.9591874422899354,4585,221,4306
Topology only,balanced,0.1,559,4079,441,4921,0.5595482546201233,0.5467032967032968,0.12052608883139285,0.9177545691906005,4638,441,4079
Topology + Shannon,balanced,0.01,62,3454,38,6446,0.6293634496919918,0.6510989010989011,0.01763367463026166,0.9941394201110426,3516,38,3454
Topology + Shannon,balanced,0.03,188,3384,112,6316,0.6293634496919918,0.6510989010989011,0.05263157894736842,0.9825762289981331,3572,112,3384
Topology + Shannon,balanced,0.05,314,3314,186,6186,0.6293634496919918,0.6510989010989011,0.08654906284454245,0.9708097928436912,3628,186,3314
Topology + Shannon,balanced,0.1,629,3140,371,5860,0.6293634496919918,0.6510989010989011,0.16688776863889626,0.9404589953458514,3769,371,3140
Shannon only,high_spec,0.01,9,489,91,9411,0.09240246406570841,0.9505494505494505,0.018072289156626505,0.9904230688276152,498,91,489
Shannon only,high_spec,0.03,27,479,273,9221,0.09240246406570841,0.9505494505494505,0.0533596837944664,0.9712449968401096,506,273,479
Shannon only,high_spec,0.05,46,469,454,9031,0.09240246406570841,0.9505494505494505,0.08932038834951456,0.9521349499209277,515,454,469
Shannon only,high_spec,0.1,92,445,908,8555,0.09240246406570841,0.9505494505494505,0.1713221601489758,0.9040473422804608,537,908,445
Topology only,high_spec,0.01,9,489,91,9411,0.09034907597535935,0.9505494505494505,0.018072289156626505,0.9904230688276152,498,91,489
Topology only,high_spec,0.03,27,479,273,9221,0.09034907597535935,0.9505494505494505,0.0533596837944664,0.9712449968401096,506,273,479
Topology only,high_spec,0.05,45,469,455,9031,0.09034907597535935,0.9505494505494505,0.08754863813229571,0.9520345772717689,514,455,469
Topology only,high_spec,0.1,90,445,910,8555,0.09034907597535935,0.9505494505494505,0.16822429906542055,0.9038563127311147,535,910,445
Topology + Shannon,high_spec,0.01,12,489,88,9411,0.12628336755646818,0.9505494505494505,0.023952095808383235,0.9907358669333614,501,88,489
Topology + Shannon,high_spec,0.03,37,479,263,9221,0.12628336755646818,0.9505494505494505,0.07170542635658915,0.9722690847743568,516,263,479
Topology + Shannon,high_spec,0.05,63,469,437,9031,0.12628336755646818,0.9505494505494505,0.11842105263157894,0.9538445289395859,532,437,469
Topology + Shannon,high_spec,0.1,126,445,874,8555,0.12628336755646818,0.9505494505494505,0.22066549912434325,0.9073072436101389,571,874,445
