feature,mean_a,mean_b,cohens_d,perm_p,wilcox_p,n_ids_a,n_ids_b,comparison,subset,n_taxa,perm_p_fdr18,sig_fdr18
h1_count,12.22,11.15,0.3086,0.001996,0.003296,590,2271,antibiotics,full,50,0.0032661818181818182,True
h1_entropy,2.0951,2.0097,0.2469,0.02994,0.0203,590,2271,antibiotics,full,50,0.044910000000000005,True
h1_total_persistence,0.3913,0.3854,0.039,0.662675,0.629829,590,2271,antibiotics,full,50,0.662675,False
h1_mean_lifetime,0.0324,0.0343,-0.202,0.051896,0.027637,590,2271,antibiotics,full,50,0.071856,False
h1_max_lifetime,0.0936,0.0971,-0.1083,0.309381,0.307988,590,2271,antibiotics,full,50,0.3275798823529412,False
max_betti1,3.785,4.07,-0.1899,0.081836,0.104026,590,2271,antibiotics,full,50,0.0982032,False
h1_count,7.385,11.495,-1.3057,0.001996,0.0,165,3084,ibd,full,50,0.0032661818181818182,True
h1_entropy,1.5615,2.0228,-1.1202,0.001996,0.0,165,3084,ibd,full,50,0.0032661818181818182,True
h1_total_persistence,0.1481,0.3948,-2.0157,0.001996,0.0,165,3084,ibd,full,50,0.0032661818181818182,True
h1_mean_lifetime,0.0196,0.0344,-1.586,0.001996,0.0,165,3084,ibd,full,50,0.0032661818181818182,True
h1_max_lifetime,0.0512,0.1024,-1.5521,0.001996,0.0,165,3084,ibd,full,50,0.0032661818181818182,True
max_betti1,2.035,3.995,-1.5732,0.001996,0.0,165,3084,ibd,full,50,0.0032661818181818182,True
h1_count,11.445,11.125,0.1056,0.241517,0.227823,367,2747,diet,full,50,0.27170662500000003,False
h1_entropy,2.0605,2.0097,0.1752,0.055888,0.073849,367,2747,diet,full,50,0.071856,False
h1_total_persistence,0.457,0.3813,0.5237,0.001996,1e-06,367,2747,diet,full,50,0.0032661818181818182,True
h1_mean_lifetime,0.0402,0.0346,0.5326,0.001996,0.0,367,2747,diet,full,50,0.0032661818181818182,True
h1_max_lifetime,0.1108,0.0968,0.4011,0.001996,5.2e-05,367,2747,diet,full,50,0.0032661818181818182,True
max_betti1,5.09,3.865,0.8015,0.001996,0.0,367,2747,diet,full,50,0.0032661818181818182,True
h1_count,12.42,10.795,0.4932,0.001996,2e-06,479,1284,antibiotics,matched,50,0.0032661818181818182,True
h1_entropy,2.1147,1.972,0.4508,0.001996,8e-06,479,1284,antibiotics,matched,50,0.0032661818181818182,True
h1_total_persistence,0.3968,0.3803,0.1167,0.255489,0.176782,479,1284,antibiotics,matched,50,0.287425125,False
h1_mean_lifetime,0.0322,0.0356,-0.3649,0.003992,0.0003,479,1284,antibiotics,matched,50,0.005988,True
