feature,mean_a,mean_b,mean_delta,cohens_d,wilcoxon_p,permutation_p,n_iter,n_a,n_b,subsample_a,subsample_b,comparison,label_a,label_b,perm_p_fdr,sig_perm_fdr,wilcox_p_fdr,sig_wilcox_fdr
h1_count,35.105,39.305,-4.2,-0.951,0.0,0.001996,200,82,82,60,60,calp_Q4_vs_Q1,Q4_high,Q1_low,0.0027636923076923077,True,0.0,True
h1_entropy,3.1662,3.2915,-0.1254,-0.9254,0.0,0.001996,200,82,82,60,60,calp_Q4_vs_Q1,Q4_high,Q1_low,0.0027636923076923077,True,0.0,True
h1_total_persistence,1.6934,1.9506,-0.2571,-0.9696,0.0,0.001996,200,82,82,60,60,calp_Q4_vs_Q1,Q4_high,Q1_low,0.0027636923076923077,True,0.0,True
h1_mean_lifetime,0.0485,0.0498,-0.0013,-0.2133,0.046312,0.025948,200,82,82,60,60,calp_Q4_vs_Q1,Q4_high,Q1_low,0.03013316129032258,True,0.05052218181818182,False
h1_max_lifetime,0.1883,0.1655,0.0228,0.7691,0.0,0.001996,200,82,82,60,60,calp_Q4_vs_Q1,Q4_high,Q1_low,0.0027636923076923077,True,0.0,True
max_betti1,11.28,15.555,-4.275,-1.7909,0.0,0.001996,200,82,82,60,60,calp_Q4_vs_Q1,Q4_high,Q1_low,0.0027636923076923077,True,0.0,True
h1_count,35.55,30.2,5.35,1.3525,0.0,0.001996,200,82,81,60,60,calp_Q4_vs_Q2,Q4_high,Q2,0.0027636923076923077,True,0.0,True
h1_entropy,3.1885,3.047,0.1415,1.0459,0.0,0.001996,200,82,81,60,60,calp_Q4_vs_Q2,Q4_high,Q2,0.0027636923076923077,True,0.0,True
h1_total_persistence,1.6881,1.4303,0.2578,1.0691,0.0,0.001996,200,82,81,60,60,calp_Q4_vs_Q2,Q4_high,Q2,0.0027636923076923077,True,0.0,True
h1_mean_lifetime,0.0477,0.0476,0.0001,0.0209,0.661356,0.822355,200,82,81,60,60,calp_Q4_vs_Q2,Q4_high,Q2,0.8458508571428571,False,0.661356,False
h1_max_lifetime,0.1857,0.1637,0.022,0.6861,0.0,0.001996,200,82,81,60,60,calp_Q4_vs_Q2,Q4_high,Q2,0.0027636923076923077,True,0.0,True
max_betti1,11.34,9.505,1.835,0.8977,0.0,0.001996,200,82,81,60,60,calp_Q4_vs_Q2,Q4_high,Q2,0.0027636923076923077,True,0.0,True
h1_count,40.19,39.33,0.86,0.1964,0.034419,0.043912,200,81,82,60,60,calp_Q3_vs_Q1,Q3,Q1_low,0.047904,True,0.038721374999999995,True
h1_entropy,3.3306,3.2919,0.0386,0.3078,0.003212,0.005988,200,81,82,60,60,calp_Q3_vs_Q1,Q3,Q1_low,0.007433379310344828,True,0.003987310344827586,True
h1_total_persistence,1.8507,1.967,-0.1163,-0.4262,0.000156,0.003992,200,81,82,60,60,calp_Q3_vs_Q1,Q3,Q1_low,0.0053226666666666665,True,0.000208,True
h1_mean_lifetime,0.0462,0.0501,-0.0039,-0.7061,0.0,0.001996,200,81,82,60,60,calp_Q3_vs_Q1,Q3,Q1_low,0.0027636923076923077,True,0.0,True
h1_max_lifetime,0.1618,0.1682,-0.0065,-0.2437,0.02965,0.023952,200,81,82,60,60,calp_Q3_vs_Q1,Q3,Q1_low,0.0287424,True,0.03443225806451613,True
max_betti1,12.255,15.5,-3.245,-1.2667,0.0,0.001996,200,81,82,60,60,calp_Q3_vs_Q1,Q3,Q1_low,0.0027636923076923077,True,0.0,True
h1_count,40.37,29.705,10.665,2.4561,0.0,0.001996,200,81,81,60,60,calp_Q3_vs_Q2,Q3,Q2,0.0027636923076923077,True,0.0,True
h1_entropy,3.3302,3.0333,0.2969,2.1424,0.0,0.001996,200,81,81,60,60,calp_Q3_vs_Q2,Q3,Q2,0.0027636923076923077,True,0.0,True
h1_total_persistence,1.8499,1.4179,0.432,1.677,0.0,0.001996,200,81,81,60,60,calp_Q3_vs_Q2,Q3,Q2,0.0027636923076923077,True,0.0,True
h1_mean_lifetime,0.046,0.0478,-0.0018,-0.3017,0.001728,0.005988,200,81,81,60,60,calp_Q3_vs_Q2,Q3,Q2,0.007433379310344828,True,0.0022217142857142856,True
